"Statistic","Year","Local Government District","Rounded","Unrounded"
"Population totals",2014,"Ards and North Down",158400,158376
"Population totals",2014,"Northern Ireland",1843200,1843186
"Population totals",2015,"Antrim and Newtownabbey",141400,141364
"Population totals",2015,"Armagh City, Banbridge and Craigavon",208300,208339
"Population totals",2015,"Belfast",340200,340194
"Population totals",2015,"Causeway Coast and Glens",142100,142052
"Population totals",2015,"Derry City and Strabane",149600,149589
"Population totals",2015,"Fermanagh and Omagh",115100,115057
"Population totals",2015,"Lisburn and Castlereagh",140900,140938
"Population totals",2015,"Mid and East Antrim",137100,137085
"Population totals",2015,"Mid Ulster",144400,144404
"Population totals",2015,"Newry, Mourne and Down",176600,176559
"Population totals",2015,"Ards and North Down",159400,159362
"Population totals",2015,"Northern Ireland",1854900,1854943
"Population totals",2016,"Antrim and Newtownabbey",142100,142138
"Population totals",2016,"Armagh City, Banbridge and Craigavon",210900,210924
"Population totals",2016,"Belfast",341100,341111
"Population totals",2016,"Causeway Coast and Glens",142200,142158
"Population totals",2016,"Derry City and Strabane",150300,150259
"Population totals",2016,"Fermanagh and Omagh",115500,115456
"Population totals",2016,"Lisburn and Castlereagh",142100,142088
"Population totals",2016,"Mid and East Antrim",137700,137718
"Population totals",2016,"Mid Ulster",145900,145874
"Population totals",2016,"Newry, Mourne and Down",178000,178017
"Population totals",2016,"Ards and North Down",160300,160299
"Population totals",2016,"Northern Ireland",1866000,1866042
"Population totals",2017,"Antrim and Newtownabbey",143000,142996
"Population totals",2017,"Armagh City, Banbridge and Craigavon",212600,212635
"Population totals",2017,"Belfast",341900,341915
"Population totals",2017,"Causeway Coast and Glens",142300,142296
"Population totals",2017,"Derry City and Strabane",150600,150589
"Population totals",2017,"Fermanagh and Omagh",115900,115859
"Population totals",2017,"Lisburn and Castlereagh",143700,143737
"Population totals",2017,"Mid and East Antrim",138000,138019
"Population totals",2017,"Mid Ulster",147000,147002
"Population totals",2017,"Newry, Mourne and Down",179200,179199
"Population totals",2017,"Ards and North Down",160900,160931
"Population totals",2017,"Northern Ireland",1875200,1875178
"Population totals",2018,"Antrim and Newtownabbey",144000,143952
"Population totals",2018,"Armagh City, Banbridge and Craigavon",214900,214887
"Population totals",2018,"Belfast",343700,343690
"Population totals",2018,"Causeway Coast and Glens",142400,142404
"Population totals",2018,"Derry City and Strabane",150700,150712
"Population totals",2018,"Fermanagh and Omagh",116300,116329
"Population totals",2018,"Lisburn and Castlereagh",145600,145644
"Population totals",2018,"Mid and East Antrim",138600,138592
"Population totals",2018,"Mid Ulster",148000,148028
"Population totals",2018,"Newry, Mourne and Down",180200,180205
"Population totals",2018,"Ards and North Down",161800,161816
"Population totals",2018,"Northern Ireland",1886300,1886259
"Population totals",2019,"Antrim and Newtownabbey",145200,145152
"Population totals",2019,"Armagh City, Banbridge and Craigavon",217100,217069
"Population totals",2019,"Belfast",345400,345391
"Population totals",2019,"Causeway Coast and Glens",142800,142776
"Population totals",2019,"Derry City and Strabane",151200,151236
"Population totals",2019,"Fermanagh and Omagh",116800,116797
"Population totals",2019,"Lisburn and Castlereagh",147500,147467
